,name,mapped_data
0,Andorra,",,,Andorra"
1,United Arab Emirates,",,,United Arab Emirates"
2,Afghanistan,",,,Afghanistan"
3,Antigua and Barbuda,",,,Antigua and Barbuda"
4,Anguilla,",,,Anguilla"
5,Albania,",,,Albania"
6,Armenia,",,,Armenia"
7,Angola,",,,Angola"
8, ,",,, "
9,Argentina,",,,Argentina"
10,American Samoa,",,,American Samoa"
11,Austria,",,,Austria"
12,Australia,",,,Australia"
13,Aruba,",,,Aruba"
14,Azerbaijan,",,,Azerbaijan"
15,Bosnia and Herzegovina,",,,Bosnia and Herzegovina"
16,Barbados,",,,Barbados"
17,Bangladesh,",,,Bangladesh"
18,Belgium,",,,Belgium"
19,Burkina Faso,",,,Burkina Faso"
20,Bulgaria,",,,Bulgaria"
21,Bahrain,",,,Bahrain"
22,Burundi,",,,Burundi"
23,Benin,",,,Benin"
24,Brunei Darussalam,",,,Brunei Darussalam"
25,Bolivia,",,,Bolivia"
26,Brazil,",,,Brazil"
27,Bahamas,",,,Bahamas"
28,Bhutan,",,,Bhutan"
29,Botswana,",,,Botswana"
30,Belarus,",,,Belarus"
31,Belize,",,,Belize"
32,Canada,",,,Canada"
33,"Congo, Democratic Republic of the",",,,Congo, Democratic Republic of the"
34,Central African Republic,",,,Central African Republic"
35,Congo,",,,Congo"
36,Switzerland,",,,Switzerland"
37,Côte d'Ivoire,",,,Côte d'Ivoire"
38,Cook Islands,",,,Cook Islands"
39,Chile,",,,Chile"
40,Cameroon,",,,Cameroon"
41,China,",,,China"
42,Colombia,",,,Colombia"
43,Costa Rica,",,,Costa Rica"
44,Cuba,",,,Cuba"
45,Cape Verde,",,,Cape Verde"
46,Cyprus,",,,Cyprus"
47,Czech Republic,",,,Czech Republic"
48,Germany,",,,Germany"
49,Djibouti,",,,Djibouti"
50,Denmark,",,,Denmark"
51,Dominica,",,,Dominica"
52,Dominican Republic,",,,Dominican Republic"
53,Algeria,",,,Algeria"
54,Ecuador,",,,Ecuador"
55,Estonia,",,,Estonia"
56,Egypt,",,,Egypt"
57,Western Sahara,",,,Western Sahara"
58,Eritrea,",,,Eritrea"
59,Spain,",,,Spain"
60,Ethiopia,",,,Ethiopia"
61,Finland,",,,Finland"
62,Fiji,",,,Fiji"
63,Faeroe Islands,",,,Faeroe Islands"
64,France,",,,France"
65,Gabon,",,,Gabon"
66,United Kingdom,",,,United Kingdom"
67,Grenada,",,,Grenada"
68,Georgia,",,,Georgia"
69,French Guiana,",,,French Guiana"
70,Guernsey,",,,Guernsey"
71,Ghana,",,,Ghana"
72,Gibraltar,",,,Gibraltar"
73,Greenland,",,,Greenland"
74,Gambia,",,,Gambia"
75,Guinea,",,,Guinea"
76,Guadeloupe,",,,Guadeloupe"
77,Equatorial Guinea,",,,Equatorial Guinea"
78,Greece,",,,Greece"
79,Guatemala,",,,Guatemala"
80,Guam,",,,Guam"
81,Guinea-Bissau,",,,Guinea-Bissau"
82,Guyana,",,,Guyana"
83,"Hong Kong, China",",,,Hong Kong, China"
84,Honduras,",,,Honduras"
85,Croatia,",,,Croatia"
86,Haiti,",,,Haiti"
87,Hungary,",,,Hungary"
88,Indonesia,",,,Indonesia"
89,Ireland,",,,Ireland"
90,Israel,",,,Israel"
91,Isle of Man,",,,Isle of Man"
92,India,",,,India"
93,Iraq,",,,Iraq"
94,"Iran, Islamic Rep. of",",,,Iran, Islamic Rep. of"
95,Iceland,",,,Iceland"
96,Italy,",,,Italy"
97,Jersey,",,,Jersey"
98,Jamaica,",,,Jamaica"
99,Jordan,",,,Jordan"
100,Japan,",,,Japan"
101,Kenya,",,,Kenya"
102,Kyrgyzstan,",,,Kyrgyzstan"
103,Cambodia,",,,Cambodia"
104,Kiribati,",,,Kiribati"
105,Comoros,",,,Comoros"
106,Saint Kitts and Nevis,",,,Saint Kitts and Nevis"
107,"Korea, Dem. People's Rep. of",",,,Korea, Dem. People's Rep. of"
108,"Korea, Republic of",",,,Korea, Republic of"
109,Kuwait,",,,Kuwait"
110,Cayman Islands,",,,Cayman Islands"
111,Kazakhstan,",,,Kazakhstan"
112,Lao People's Dem. Rep.,",,,Lao People's Dem. Rep."
113,Lebanon,",,,Lebanon"
114,Saint Lucia,",,,Saint Lucia"
115,Liechtenstein,",,,Liechtenstein"
116,Sri Lanka,",,,Sri Lanka"
117,Liberia,",,,Liberia"
118,Lesotho,",,,Lesotho"
119,Lithuania,",,,Lithuania"
120,Luxembourg,",,,Luxembourg"
121,Latvia,",,,Latvia"
122,Libyan Arab Jamahiriya,",,,Libyan Arab Jamahiriya"
123,Morocco,",,,Morocco"
124,Monaco,",,,Monaco"
125,"Moldova, Republic of",",,,Moldova, Republic of"
126,Montenegro,",,,Montenegro"
127,Madagascar,",,,Madagascar"
128,Marshall Islands,",,,Marshall Islands"
129,"Macedonia, The former Yugoslav Rep. of",",,,Macedonia, The former Yugoslav Rep. of"
130,Mali,",,,Mali"
131,Myanmar,",,,Myanmar"
132,Mongolia,",,,Mongolia"
133,"Macau, China",",,,Macau, China"
134,Northern Mariana Islands,",,,Northern Mariana Islands"
135,Martinique,",,,Martinique"
136,Mauritania,",,,Mauritania"
137,Montserrat,",,,Montserrat"
138,Malta,",,,Malta"
139,Mauritius,",,,Mauritius"
140,Maldives,",,,Maldives"
141,Malawi,",,,Malawi"
142,Mexico,",,,Mexico"
143,Malaysia,",,,Malaysia"
144,Mozambique,",,,Mozambique"
145,New Caledonia,",,,New Caledonia"
146,Niger,",,,Niger"
147,Nigeria,",,,Nigeria"
148,Nicaragua,",,,Nicaragua"
149,Netherlands,",,,Netherlands"
150,Norway,",,,Norway"
151,Nepal,",,,Nepal"
152,Nauru,",,,Nauru"
153,Niue,",,,Niue"
154,New Zealand,",,,New Zealand"
155,Oman,",,,Oman"
156,Panama,",,,Panama"
157,Peru,",,,Peru"
158,French Polynesia,",,,French Polynesia"
159,Papua New Guinea,",,,Papua New Guinea"
160,Philippines,",,,Philippines"
161,Pakistan,",,,Pakistan"
162,Poland,",,,Poland"
163,Saint Pierre and Miquelon,",,,Saint Pierre and Miquelon"
164,Puerto Rico,",,,Puerto Rico"
165,West Bank and Gaza Strip,",,,West Bank and Gaza Strip"
166,Portugal,",,,Portugal"
167,Palau,",,,Palau"
168,Paraguay,",,,Paraguay"
169,Qatar,",,,Qatar"
170,Réunion,",,,Réunion"
171,Romania,",,,Romania"
172,Serbia,",,,Serbia"
173,Russian Federation,",,,Russian Federation"
174,Rwanda,",,,Rwanda"
175,Saudi Arabia,",,,Saudi Arabia"
176,Solomon Islands,",,,Solomon Islands"
177,Seychelles,",,,Seychelles"
178,"Sudan, The Republic of",",,,Sudan, The Republic of"
179,Sweden,",,,Sweden"
180,Singapore,",,,Singapore"
181,Saint Helena,",,,Saint Helena"
182,Slovenia,",,,Slovenia"
183,Slovakia,",,,Slovakia"
184,Sierra Leone,",,,Sierra Leone"
185,San Marino,",,,San Marino"
186,Senegal,",,,Senegal"
187,Somalia,",,,Somalia"
188,Suriname,",,,Suriname"
189,"South Sudan, The Republic of",",,,South Sudan, The Republic of"
190,Sao Tome and Principe,",,,Sao Tome and Principe"
191,El Salvador,",,,El Salvador"
192,Syrian Arab Republic,",,,Syrian Arab Republic"
193,Swaziland,",,,Swaziland"
194,Turks and Caicos Islands,",,,Turks and Caicos Islands"
195,Chad,",,,Chad"
196,Togo,",,,Togo"
197,Thailand,",,,Thailand"
198,Tajikistan,",,,Tajikistan"
199,Tokelau,",,,Tokelau"
200,Timor-Leste,",,,Timor-Leste"
201,Turkmenistan,",,,Turkmenistan"
202,Tunisia,",,,Tunisia"
203,Tonga,",,,Tonga"
204,Turkey,",,,Turkey"
205,Trinidad and Tobago,",,,Trinidad and Tobago"
206,Tuvalu,",,,Tuvalu"
207,"Taiwan, China",",,,Taiwan, China"
208,"Tanzania, United Republic of",",,,Tanzania, United Republic of"
209,Ukraine,",,,Ukraine"
210,Uganda,",,,Uganda"
211,United States,",,,United States"
212,Uruguay,",,,Uruguay"
213,Uzbekistan,",,,Uzbekistan"
214,Saint Vincent and the Grenadines,",,,Saint Vincent and the Grenadines"
215,"Venezuela, Bolivarian Rep. of",",,,Venezuela, Bolivarian Rep. of"
216,British Virgin Islands,",,,British Virgin Islands"
217,Virgin Islands (US),",,,Virgin Islands (US)"
218,Viet Nam,",,,Viet Nam"
219,Vanuatu,",,,Vanuatu"
220,Wallis and Futuna Islands,",,,Wallis and Futuna Islands"
221,Samoa,",,,Samoa"
222,Yemen,",,,Yemen"
223,South Africa,",,,South Africa"
224,Zambia,",,,Zambia"
225,Zimbabwe,",,,Zimbabwe"
226,andorra,",,,Andorra"
227,united arab emirates,",,,United Arab Emirates"
228,afghanistan,",,,Afghanistan"
229,antigua and barbuda,",,,Antigua and Barbuda"
230,anguilla,",,,Anguilla"
231,albania,",,,Albania"
232,armenia,",,,Armenia"
233,angola,",,,Angola"
234,argentina,",,,Argentina"
235,american samoa,",,,American Samoa"
236,austria,",,,Austria"
237,australia,",,,Australia"
238,aruba,",,,Aruba"
239,azerbaijan,",,,Azerbaijan"
240,bosnia and herzegovina,",,,Bosnia and Herzegovina"
241,barbados,",,,Barbados"
242,bangladesh,",,,Bangladesh"
243,belgium,",,,Belgium"
244,burkina faso,",,,Burkina Faso"
245,bulgaria,",,,Bulgaria"
246,bahrain,",,,Bahrain"
247,burundi,",,,Burundi"
248,benin,",,,Benin"
249,brunei darussalam,",,,Brunei Darussalam"
250,bolivia,",,,Bolivia"
251,brazil,",,,Brazil"
252,bahamas,",,,Bahamas"
253,bhutan,",,,Bhutan"
254,botswana,",,,Botswana"
255,belarus,",,,Belarus"
256,belize,",,,Belize"
257,canada,",,,Canada"
258,"congo, democratic republic of the",",,,Congo, Democratic Republic of the"
259,central african republic,",,,Central African Republic"
260,congo,",,,Congo"
261,switzerland,",,,Switzerland"
262,côte d'ivoire,",,,Côte d'Ivoire"
263,cook islands,",,,Cook Islands"
264,chile,",,,Chile"
265,cameroon,",,,Cameroon"
266,china,",,,China"
267,colombia,",,,Colombia"
268,costa rica,",,,Costa Rica"
269,cuba,",,,Cuba"
270,cape verde,",,,Cape Verde"
271,cyprus,",,,Cyprus"
272,czech republic,",,,Czech Republic"
273,germany,",,,Germany"
274,djibouti,",,,Djibouti"
275,denmark,",,,Denmark"
276,dominica,",,,Dominica"
277,dominican republic,",,,Dominican Republic"
278,algeria,",,,Algeria"
279,ecuador,",,,Ecuador"
280,estonia,",,,Estonia"
281,egypt,",,,Egypt"
282,western sahara,",,,Western Sahara"
283,eritrea,",,,Eritrea"
284,spain,",,,Spain"
285,ethiopia,",,,Ethiopia"
286,finland,",,,Finland"
287,fiji,",,,Fiji"
288,faeroe islands,",,,Faeroe Islands"
289,france,",,,France"
290,gabon,",,,Gabon"
291,united kingdom,",,,United Kingdom"
292,grenada,",,,Grenada"
293,georgia,",,,Georgia"
294,french guiana,",,,French Guiana"
295,guernsey,",,,Guernsey"
296,ghana,",,,Ghana"
297,gibraltar,",,,Gibraltar"
298,greenland,",,,Greenland"
299,gambia,",,,Gambia"
300,guinea,",,,Guinea"
301,guadeloupe,",,,Guadeloupe"
302,equatorial guinea,",,,Equatorial Guinea"
303,greece,",,,Greece"
304,guatemala,",,,Guatemala"
305,guam,",,,Guam"
306,guinea-bissau,",,,Guinea-Bissau"
307,guyana,",,,Guyana"
308,"hong kong, china",",,,Hong Kong, China"
309,honduras,",,,Honduras"
310,croatia,",,,Croatia"
311,haiti,",,,Haiti"
312,hungary,",,,Hungary"
313,indonesia,",,,Indonesia"
314,ireland,",,,Ireland"
315,israel,",,,Israel"
316,isle of man,",,,Isle of Man"
317,india,",,,India"
318,iraq,",,,Iraq"
319,"iran, islamic rep. of",",,,Iran, Islamic Rep. of"
320,iceland,",,,Iceland"
321,italy,",,,Italy"
322,jersey,",,,Jersey"
323,jamaica,",,,Jamaica"
324,jordan,",,,Jordan"
325,japan,",,,Japan"
326,kenya,",,,Kenya"
327,kyrgyzstan,",,,Kyrgyzstan"
328,cambodia,",,,Cambodia"
329,kiribati,",,,Kiribati"
330,comoros,",,,Comoros"
331,saint kitts and nevis,",,,Saint Kitts and Nevis"
332,"korea, dem. people's rep. of",",,,Korea, Dem. People's Rep. of"
333,"korea, republic of",",,,Korea, Republic of"
334,kuwait,",,,Kuwait"
335,cayman islands,",,,Cayman Islands"
336,kazakhstan,",,,Kazakhstan"
337,lao people's dem. rep.,",,,Lao People's Dem. Rep."
338,lebanon,",,,Lebanon"
339,saint lucia,",,,Saint Lucia"
340,liechtenstein,",,,Liechtenstein"
341,sri lanka,",,,Sri Lanka"
342,liberia,",,,Liberia"
343,lesotho,",,,Lesotho"
344,lithuania,",,,Lithuania"
345,luxembourg,",,,Luxembourg"
346,latvia,",,,Latvia"
347,libyan arab jamahiriya,",,,Libyan Arab Jamahiriya"
348,morocco,",,,Morocco"
349,monaco,",,,Monaco"
350,"moldova, republic of",",,,Moldova, Republic of"
351,montenegro,",,,Montenegro"
352,madagascar,",,,Madagascar"
353,marshall islands,",,,Marshall Islands"
354,"macedonia, the former yugoslav rep. of",",,,Macedonia, The former Yugoslav Rep. of"
355,mali,",,,Mali"
356,myanmar,",,,Myanmar"
357,mongolia,",,,Mongolia"
358,"macau, china",",,,Macau, China"
359,northern mariana islands,",,,Northern Mariana Islands"
360,martinique,",,,Martinique"
361,mauritania,",,,Mauritania"
362,montserrat,",,,Montserrat"
363,malta,",,,Malta"
364,mauritius,",,,Mauritius"
365,maldives,",,,Maldives"
366,malawi,",,,Malawi"
367,mexico,",,,Mexico"
368,malaysia,",,,Malaysia"
369,mozambique,",,,Mozambique"
370,new caledonia,",,,New Caledonia"
371,niger,",,,Niger"
372,nigeria,",,,Nigeria"
373,nicaragua,",,,Nicaragua"
374,netherlands,",,,Netherlands"
375,norway,",,,Norway"
376,nepal,",,,Nepal"
377,nauru,",,,Nauru"
378,niue,",,,Niue"
379,new zealand,",,,New Zealand"
380,oman,",,,Oman"
381,panama,",,,Panama"
382,peru,",,,Peru"
383,french polynesia,",,,French Polynesia"
384,papua new guinea,",,,Papua New Guinea"
385,philippines,",,,Philippines"
386,pakistan,",,,Pakistan"
387,poland,",,,Poland"
388,saint pierre and miquelon,",,,Saint Pierre and Miquelon"
389,puerto rico,",,,Puerto Rico"
390,west bank and gaza strip,",,,West Bank and Gaza Strip"
391,portugal,",,,Portugal"
392,palau,",,,Palau"
393,paraguay,",,,Paraguay"
394,qatar,",,,Qatar"
395,réunion,",,,Réunion"
396,romania,",,,Romania"
397,serbia,",,,Serbia"
398,russian federation,",,,Russian Federation"
399,rwanda,",,,Rwanda"
400,saudi arabia,",,,Saudi Arabia"
401,solomon islands,",,,Solomon Islands"
402,seychelles,",,,Seychelles"
403,"sudan, the republic of",",,,Sudan, The Republic of"
404,sweden,",,,Sweden"
405,singapore,",,,Singapore"
406,saint helena,",,,Saint Helena"
407,slovenia,",,,Slovenia"
408,slovakia,",,,Slovakia"
409,sierra leone,",,,Sierra Leone"
410,san marino,",,,San Marino"
411,senegal,",,,Senegal"
412,somalia,",,,Somalia"
413,suriname,",,,Suriname"
414,"south sudan, the republic of",",,,South Sudan, The Republic of"
415,sao tome and principe,",,,Sao Tome and Principe"
416,el salvador,",,,El Salvador"
417,syrian arab republic,",,,Syrian Arab Republic"
418,swaziland,",,,Swaziland"
419,turks and caicos islands,",,,Turks and Caicos Islands"
420,chad,",,,Chad"
421,togo,",,,Togo"
422,thailand,",,,Thailand"
423,tajikistan,",,,Tajikistan"
424,tokelau,",,,Tokelau"
425,timor-leste,",,,Timor-Leste"
426,turkmenistan,",,,Turkmenistan"
427,tunisia,",,,Tunisia"
428,tonga,",,,Tonga"
429,turkey,",,,Turkey"
430,trinidad and tobago,",,,Trinidad and Tobago"
431,tuvalu,",,,Tuvalu"
432,"taiwan, china",",,,Taiwan, China"
433,"tanzania, united republic of",",,,Tanzania, United Republic of"
434,ukraine,",,,Ukraine"
435,uganda,",,,Uganda"
436,united states,",,,United States"
437,uruguay,",,,Uruguay"
438,uzbekistan,",,,Uzbekistan"
439,saint vincent and the grenadines,",,,Saint Vincent and the Grenadines"
440,"venezuela, bolivarian rep. of",",,,Venezuela, Bolivarian Rep. of"
441,british virgin islands,",,,British Virgin Islands"
442,virgin islands (us),",,,Virgin Islands (US)"
443,viet nam,",,,Viet Nam"
444,vanuatu,",,,Vanuatu"
445,wallis and futuna islands,",,,Wallis and Futuna Islands"
446,samoa,",,,Samoa"
447,yemen,",,,Yemen"
448,south africa,",,,South Africa"
449,zambia,",,,Zambia"
450,zimbabwe,",,,Zimbabwe"
